TIMESTAMPms	M202RAWIMUxacc	M202RAWIMUxmag	M202RAWIMUyacc	M202RAWIMUymag	M202RAWIMUzacc	M202RAWIMUzmag
276984	1984	-698	2240	-305	-2304	-401
277088	1536	-675	1920	-288	-2816	-318
277188	1216	-655	1600	-316	-3136	-311
277288	960	-630	1280	-253	-3328	-241
277388	640	-618	1024	-235	-3456	-221
277488	384	-577	768	-279	-3520	-235
277588	192	-564	640	-185	-3584	-165
277688	-128	-529	256	-138	-3520	-138
277788	-320	-525	64	-143	-3584	-132
277888	-512	-502	-64	-124	-3520	-122
277984	-512	-500	-64	-111	-3456	-129
278088	-512	-511	-64	-128	-3648	-125
278188	-448	-501	-64	-124	-3584	-127
278288	-512	-501	-128	-122	-3584	-119
278388	-512	-499	-64	-120	-3520	-117
278488	-576	-500	-64	-142	-3520	-115
278588	-768	-500	-256	-120	-3520	-118
278688	-512	-496	-128	-118	-3520	-118
278788	-576	-500	-128	-115	-3584	-118
278888	-576	-497	-128	-114	-3520	-117
278984	-576	-493	-128	-112	-3520	-116
279092	-576	-494	-128	-110	-3392	-116
279184	-640	-494	-128	-136	-3520	-161
279284	-640	-493	-128	-112	-3456	-120
279384	-512	-489	-128	-113	-3520	-118
279488	-576	-491	-192	-112	-3520	-119
279588	-640	-488	-256	-118	-3456	-117
279688	-448	-484	-192	-123	-3456	-116
279788	-576	-484	-128	-132	-3456	-119
279888	-384	-472	-64	-137	-3456	-123
279984	-512	-470	-192	-133	-3584	-118
280092	-448	-469	-192	-138	-3520	-117
280192	-512	-472	-192	-139	-3520	-116
280284	-512	-468	-192	-141	-3584	-119
280384	-512	-465	-192	-139	-3520	-115
280488	-512	-468	-256	-139	-3520	-119
280588	-448	-463	-128	-149	-3584	-119
280688	-512	-455	-192	-204	-3520	-139
280788	-448	-459	-320	-141	-3520	-114
280888	-512	-467	-256	-139	-3520	-112
280984	-512	-453	-256	-137	-3456	-131
281084	-512	-459	-320	-137	-3520	-114
281192	-512	-465	-256	-138	-3456	-116
281284	-448	-460	-256	-139	-3520	-116
281384	-512	-461	-256	-143	-3456	-116
281484	-512	-458	-256	-143	-3520	-133
281584	-512	-463	-256	-133	-3520	-115
281684	-512	-445	-448	-121	-3456	-113
281784	-704	-405	-640	-62	-3520	-89
281884	-1024	-382	-1024	-34	-3264	-88
282008	-1408	-323	-1600	64	-2880	-80
